,movie,production_budget,domestic_gross,worldwide_gross,total_gross,profit
5700,The Foot Fist Way,79000,234286,234286,468572,389572
1017,The Forbidden Kingdom,55000000,52075270,129075270,181150540,126150540
1680,The Foreigner,35000000,34393507,140783360,175176867,140176867
3591,The Forest,10000000,26594261,40749230,67343491,57343491
1120,The Forgotten,50000000,66711892,117211892,183923784,133923784
4327,The Forsaken,5000000,6755271,6755271,13510542,8510542
3089,The Founder,15000000,12786053,24403192,37189245,22189245
1715,The Four Feathers,35000000,18306166,29882645,48188811,13188811
4087,The Four Seasons,6500000,42488161,42488161,84976322,78476322
3592,The Fourth Kind,10000000,26218170,49486874,75705044,65705044
4870,The French Connection,2200000,41158757,41158757,82317514,80117514
4490,The Front Page,4000000,15000000,15000000,30000000,26000000
1327,The Fugitive,44000000,183875760,353715317,537591077,493591077
4589,The Full Monty,3500000,45950122,261249383,307199505,303699505
5261,The Future,1000000,568662,1239174,1807836,807836
5679,The Gallows,100000,22764410,41656474,64420884,64320884
1137,The Game,50000000,48265581,80369970,128635551,78635551
2407,The Game Plan,22000000,90648202,146590987,237239189,215239189
5077,The Gatekeepers,1500000,2408553,2592308,5000861,3500861
855,The General's Daughter,60000000,102705852,149705852,252411704,192411704
1310,The Ghost Writer,45000000,15541549,65532491,81074040,36074040
1024,The Ghost and the Darkness,55000000,38564422,38564422,77128844,22128844
3627,The Gift,10000000,12008642,44567606,56576248,46576248
2268,The Girl Next Door,25000000,14589444,31635150,46224594,21224594
1339,The Girl in the Spiderâs Web,43000000,14828555,34983342,49811897,6811897
1267,The Girl on the Train,45000000,75395035,174278214,249673249,204673249
450,The Girl with the Dragon Tattoo,90000000,102515793,239373970,341889763,251889763
5134,The Girlfriend Experience,1300000,695840,1005840,1701680,401680
2201,The Giver,25000000,45090374,66540205,111630579,86630579
2432,The Glass House,22000000,17951431,22861785,40813216,18813216
1303,The Glimmer Man,45000000,20404841,36404841,56809682,11809682
3986,The Godfather,7000000,134966411,268500000,403466411,396466411
3252,The Godfather: Part II,13000000,57300000,57300000,114600000,101600000
1052,The Godfather: Part III,54000000,66520529,66520529,133041058,79041058
3346,The Golden Child,12000000,79817937,79817937,159635874,147635874
40,The Golden Compass,205000000,70107728,367262558,437370286,232370286
72,The Good Dinosaur,187500000,123087120,333771037,456858157,269358157
3893,The Good Girl,8000000,14018296,16585503,30603799,22603799
3620,"The Goods: Live Hard, Sell Hard",10000000,15122676,15297318,30419994,20419994
5617,The Grace Card,200000,2430735,2430735,4861470,4661470
1826,The Grand Budapest Hotel,31000000,59076019,163981261,223057280,192057280
3048,The Great Debaters,15000000,30226144,30261293,60487437,45487437
4495,The Great Escape,4000000,11744471,11972561,23717032,19717032
69,The Great Gatsby,190000000,144840419,351040419,495880838,305880838
191,The Great Wall,150000000,45157105,334486852,379643957,229643957
2264,The Greatest Game Ever Played,25000000,15331289,15468266,30799555,5799555
4481,The Greatest Show on Earth,4000000,36000000,36000000,72000000,68000000
524,The Greatest Showman,84000000,174340174,386665550,561005724,477005724
2617,The Greatest Story Ever Told,20000000,15473333,15473333,30946666,10946666
328,The Green Hornet,110000000,98780042,229155503,327935545,217935545
5230,The Green Inferno,1000000,7192291,12931420,20123711,19123711
847,The Green Mile,60000000,136801374,290701374,427502748,367502748
2194,The Grey,25000000,51580136,81249176,132829312,107829312
3537,The Grudge,10000000,110359362,187281115,297640477,287640477
2541,The Grudge 2,20000000,39143839,70743839,109887678,89887678
4153,The Guard,6000000,5359774,21197454,26557228,20557228
721,The Guardian,70000000,55011732,94973540,149985272,79985272
1458,The Guilt Trip,40000000,37134215,41294674,78428889,38428889
3503,The Guru,11000000,3051221,24150550,27201771,16201771
5349,The Hammer,850000,442638,442638,885276,35276
1624,The Hangover,35000000,277322503,465764086,743086589,708086589
356,The Hangover 3,103000000,112200072,362000072,474200144,371200144
538,The Hangover Part II,80000000,254464305,586464305,840928610,760928610
878,The Happening,60000000,64506874,162778384,227285258,167285258
4774,The Harvey Girls,2931000,4100000,4100000,8200000,5269000
2377,The Hate U Give,23000000,29719483,35067665,64787148,41787148
832,The Hateful Eight,62000000,54117416,147864886,201982302,139982302
460,The Haunted Mansion,90000000,75817994,155750628,231568622,141568622
565,The Haunting,80000000,91188905,180188905,271377810,191377810
4306,The Haunting of Molly Hartley,5000000,13442412,15318257,28760669,23760669
1334,The Heat,43000000,159581587,229727774,389309361,346309361
2162,The Help,25000000,169705587,213120004,382825591,357825591
2881,The Hills Have Eyes,17000000,41778863,70355813,112134676,95134676
3068,The Hills Have Eyes II,15000000,20804166,37466538,58270704,43270704
4582,The History Boys,3700000,2730296,13447998,16178294,12478294
1284,The Hitchhiker's Guide to the Galaxy,45000000,51019112,102746214,153765326,108765326
1864,The Hitmanâs Bodyguard,30000000,75468583,172778667,248247250,218247250
18,The Hobbit: An Unexpected Journey,250000000,303003568,1017003568,1320007136,1070007136
21,The Hobbit: The Battle of the Five Armies,250000000,255119788,945577621,1200697409,950697409
20,The Hobbit: The Desolation of Smaug,250000000,258366855,960366855,1218733710,968733710
3972,The Hole,7500000,0,10834406,10834406,3334406
507,The Holiday,85000000,63280000,205190324,268470324,183470324
5121,The Holy Girl,1400000,304124,1261792,1565916,165916
5653,The Horse Boy,160000,156612,156612,313224,153224
872,The Horse Whisperer,60000000,75383563,186883563,262267126,202267126
1167,The Host,50000000,26623701,64477051,91100752,41100752
3962,The Hotel New Hampshire,7500000,5142858,5142858,10285716,2785716
2207,The Hours,25000000,41675994,97030468,138706462,113706462
1485,The House,40000000,25584504,31192425,56776929,16776929
2197,The House Bunny,25000000,48237389,71390601,119627990,94627990
1415,The House with a Clock in its Walls,40000000,68549695,126331750,194881445,154881445
5218,The Howling,1000000,17985000,17985000,35970000,34970000
378,The Hunchback of Notre Dame,100000000,100138851,325500000,425638851,325638851
2412,The Hundred-Foot Journey,22000000,54235441,94270488,148505929,126505929
537,The Hunger Games,80000000,408010692,677923379,1085934071,1005934071
237,The Hunger Games: Catching Fire,130000000,424668047,864868047,1289536094,1159536094
261,The Hunger Games: Mockingjay - Part 1,125000000,337135885,766575131,1103711016,978711016
138,The Hunger Games: Mockingjay - Part 2,160000000,281723902,648986787,930710689,770710689
1843,The Hunt for Red October,30000000,120709866,200500000,321209866,291209866
1027,The Hunted,55000000,34234008,47213095,81447103,26447103
309,The Huntsman: Winterâs War,115000000,48003015,165149302,213152317,98152317
1564,The Hurricane,38000000,50699241,73956241,124655482,86655482
3076,The Hurt Locker,15000000,17017811,49894223,66912034,51912034
4903,The Hustler,2000000,7600000,7600000,15200000,13200000
3787,The Ice Pirates,9000000,13075390,13075390,26150780,17150780
2820,The Ice Storm,18000000,8038061,16011975,24050036,6050036
2375,The Ides of March,23000000,40962534,77735925,118698459,95698459
2921,The Illusionist,16500000,39868642,83792062,123660704,107160704
1984,The Imaginarium of Doctor Parnassus,30000000,7689607,64352607,72042214,42042214
3005,The Imitation Game,15000000,91125143,227740463,318865606,303865606
3108,The Importance of Being Earnest,15000000,8378141,8378141,16756282,1756282
1499,The Impossible,40000000,19019882,169590606,188610488,148610488
4205,The Inbetweeners,5700000,35955,86051320,86087275,80387275
1806,The Incredible Burt Wonderstone,32000000,22537881,27392609,49930490,17930490
221,The Incredible Hulk,137500000,134806913,265573859,400380772,262880772
432,The Incredibles,92000000,261441092,614726752,876167844,784167844
5574,The Incredibly True Adventure of Two Girls in Love,250000,2210408,2477155,4687563,4437563
1293,The Indian in the Cupboard,45000000,35627222,35627222,71254444,26254444
2419,The Informant!,22000000,33316821,41771168,75087989,53087989
3897,The Inkwell,8000000,8864699,8864699,17729398,9729398
5377,The Innkeepers,750000,78396,1011535,1089931,339931
760,The Insider,68000000,28965197,60265197,89230394,21230394
1405,The Intern,40000000,75764672,197115710,272880382,232880382
1171,The International,50000000,25450527,53850527,79301054,29301054
962,The Internship,58000000,44672764,93672764,138345528,80345528
462,The Interpreter,90000000,72708161,162753837,235461998,145461998
3871,The Intruder,8000000,35095904,36005871,71101775,63101775
2759,The Invention of Lying,18500000,18451251,32679264,51130515,32630515
1175,The Iron Giant,50000000,23159305,31333917,54493222,4493222
3189,The Iron Lady,14000000,29959436,115592104,145551540,131551540
299,The Island,120000000,35818913,163018913,198837826,78837826
1481,The Island of Dr. Moreau,40000000,27682712,27682712,55365424,15365424
853,The Italian Job,60000000,106126012,176262839,282388851,222388851
889,The Jackal,60000000,54956941,159356941,214313882,154313882
4505,The Jerky Boys,4000000,7555256,7555256,15110512,11110512
1140,The Judge,50000000,47119388,76119388,123238776,73238776
2095,The Jungle Book,27000000,44342956,44342956,88685912,61685912
2528,The Jungle Book 2,20000000,47901582,140122225,188023807,168023807
1331,The Juror,44000000,22730924,22730924,45461848,1461848
3862,The Karate Kid,8000000,90815558,90815558,181631116,173631116
5408,The Kentucky Fried Movie,600000,15000000,20000000,35000000,34400000
793,The Kid,65000000,69688384,69688384,139376768,74376768
4486,The Kids Are All Right,4000000,20811365,36275469,57086834,53086834
682,The Kingdom,72500000,47467250,86509602,133976852,61476852
2996,The Kingâs Speech,15000000,138797449,430821168,569618617,554618617
2614,The Kite Runner,20000000,15800078,74180745,89980823,69980823
407,The LEGO Movie 2: The Second Part,99000000,105806508,190325698,296132206,197132206
3491,The Ladies Man,11000000,13592872,13719474,27312346,16312346
4146,The Lady in the Van,6000000,10021175,42320503,52341678,46341678
1670,The Ladykillers,35000000,39692139,77392139,117084278,82084278
1433,The Lake House,40000000,52330111,114830111,167160222,127160222
3339,The Land Before Time,12300000,48092846,81972846,130065692,117765692
182,The Last Airbender,150000000,131772187,319713881,451486068,301486068
3573,The Last Dragon,10000000,33000000,33000000,66000000,56000000
2204,The Last Emperor,25000000,43984987,44005073,87990060,62990060
5014,The Last Exorcism,1800000,41034350,70165900,111200250,109400250
4489,The Last Exorcism Part II,4000000,15179303,25448707,40628010,36628010
3043,The Last House on the Left,15000000,32752215,46526243,79278458,64278458
4133,The Last King of Scotland,6000000,17606684,49155371,66762055,60762055
213,The Last Samurai,140000000,111110575,456810575,567921150,427921150
2514,The Last Song,20000000,62950384,92678948,155629332,135629332
1973,The Last Stand,30000000,12050299,48330757,60381056,30381056
2824,The Last Station,18000000,6617867,15696146,22314013,4314013
4025,The Last Temptation of Christ,7000000,8373585,8373585,16747170,9747170
5733,The Last Waltz,35000,321952,322563,644515,609515
595,The Last Witch Hunter,80000000,27367660,130818912,158186572,78186572
1406,The Last of the Mohicans,40000000,75505856,75505856,151011712,111011712
3575,The Lawnmower Man,10000000,32100816,32100816,64201632,54201632
4275,The Lazarus Effect,5000000,25801570,38359310,64160880,59160880
615,The League of Extraordinary Gentlemen,78000000,66465204,179265204,245730408,167730408
926,The Legend of Bagger Vance,60000000,30695227,39235486,69930713,9930713
3630,The Legend of Drunken Master,10000000,11546543,11546543,23093086,13093086
5736,The Legend of God's Gun,30000,243768,243768,487536,457536
741,The Legend of Hercules,70000000,18848538,58953319,77801857,7801857
87,The Legend of Tarzan,180000000,126643061,348902025,475545086,295545086
585,The Legend of Zorro,80000000,45575336,141475336,187050672,107050672
2817,The Legend of the Lone Ranger,18000000,13400000,13400000,26800000,8800000
540,The Lego Batman Movie,80000000,175750384,310660018,486410402,406410402
843,The Lego Movie,60000000,257784718,457729388,715514106,655514106
719,The Lego Ninjago Movie,70000000,59281555,122737201,182018756,112018756
1174,The Life Aquatic with Steve Zissou,50000000,24006726,34806726,58813452,8813452
2633,The Light Between Oceans,20000000,12545979,22281732,34827711,14827711
1424,The Lincoln Lawyer,40000000,58009200,87145086,145154286,105154286
608,The Lion King,79300000,421785283,986214868,1408000151,1328700151
618,The Little Prince,77500000,1311213,102028919,103340132,25840132
2437,The Little Vampire,22000000,13555988,13555988,27111976,5111976
1436,The Living Daylights,40000000,51185000,191200000,242385000,202385000
3026,The Lizzie McGuire Movie,15000000,42734455,55534455,98268910,83268910
4431,The Lobster,4500000,9196278,18019834,27216112,22716112
12,The Lone Ranger,275000000,89302115,260002115,349304230,74304230
807,The Long Kiss Goodnight,65000000,33447612,33447612,66895224,1895224
3618,The Long Riders,10000000,15198912,15198912,30397824,20397824
3558,The Longest Day,10000000,39100000,50100000,89200000,79200000
1760,The Longest Ride,34000000,37446117,63802928,101249045,67249045
532,The Longest Yard,82000000,158119460,191558505,349677965,267677965
2390,The Longshots,23000000,11511323,11778396,23289719,289719
342,The Lord of the Rings: The Fellowship of the Ring,109000000,315544750,887210985,1202755735,1093755735
425,The Lord of the Rings: The Return of the King,94000000,377845905,1141403341,1519249246,1425249246
426,The Lord of the Rings: The Two Towers,94000000,342548984,934699645,1277248629,1183248629
5083,The Lords of Salem,1500000,1165881,1541131,2707012,1207012
2243,The Losers,25000000,23591432,29863840,53455272,28455272
3834,The Lost Boys,8500000,32222567,32222567,64445134,55945134
5687,The Lost Skeleton of Cadavra,100000,110536,110536,221072,121072
5148,The Lost Weekend,1250000,11000000,11000000,22000000,20750000
630,The Lost World: Jurassic Park,75000000,229086679,618638999,847725678,772725678
833,The Love Guru,62000000,32235793,40159017,72394810,10394810
421,The Lovely Bones,95000000,44114232,94894448,139008680,44008680
2186,The Lucky One,25000000,60457138,96633833,157090971,132090971
5041,The Lunchbox,1700000,4231500,12231500,16463000,14763000
4356,The Machinist,5000000,1082044,8655397,9737441,4737441
454,The Magnificent Seven,90000000,93432655,162525156,255957811,165957811
4286,The Man From Snowy River,5000000,20659423,20659423,41318846,36318846
654,The Man From U.N.C.L.E.,75000000,45445109,104949584,150394693,75394693
3666,The Man Who Knew Infinity,10000000,3877922,12382122,16260044,6260044
2624,The Man Who Knew Too Little,20000000,13801755,13801755,27603510,7603510
4654,The Man Who Shot Liberty Valance,3200000,8000000,8000000,16000000,12800000
1653,The Man in the Iron Mask,35000000,56968169,56968169,113936338,78936338
4006,The Man with the Golden Gun,7000000,21000000,97600000,118600000,111600000
3078,The Man with the Iron Fists,15000000,15634090,22018988,37653078,22653078
578,The Manchurian Candidate,80000000,65948711,96148711,162097422,82097422
3072,The Marine,15000000,18844784,22165608,41010392,26010392
345,The Martian,108000000,228433663,655271443,883705106,775705106
2765,The Mask,18000000,119920129,351620129,471540258,453540258
786,The Mask of Zorro,65000000,93828745,233700000,327528745,262528745
1586,The Master,37500000,16247159,50647416,66894575,29394575
2935,The Master of Disguise,16000000,40363530,40363530,80727060,64727060
3625,The Matador,10000000,12589255,17300838,29890093,19890093
775,The Matrix,65000000,171479930,463517383,634997313,569997313
159,The Matrix Reloaded,150000000,281553689,738576929,1020130618,870130618
176,The Matrix Revolutions,150000000,139270910,427300260,566571170,416571170
1759,The Maze Runner,34000000,102427862,348319861,450747723,416747723
1341,The Mechanic,42500000,29121498,76347393,105468891,62968891
1372,The Medallion,41000000,22108977,22108977,44217954,3217954
4657,The Meddler,3200000,4267219,5526942,9794161,6594161
93,The Meg,178000000,145443742,529530715,674974457,496974457
2346,The Men Who Stare at Goats,24000000,32428195,67348218,99776413,75776413
2939,The Messengers,16000000,35374833,53774833,89149666,73149666
1417,The Mexican,40000000,66808615,145238250,212046865,172046865
5684,The Mighty,100000,2652246,6121582,8773828,8673828
3551,The Mighty Ducks,10000000,50752337,50752337,101504674,91504674
1353,The Mirror Has Two Faces,42000000,41267469,41267469,82534938,40534938
4503,The Misfits,4000000,8200000,8200000,16400000,12400000
810,The Missing,65000000,26900336,38253433,65153769,153769
3270,The Mist,13000000,25593755,57189408,82783163,69783163
713,The Monuments Men,70000000,78031620,158702748,236734368,166734368
925,The Mortal Instruments: City of Bones,60000000,31165421,75965567,107130988,47130988
1355,The Mothman Prophecies,42000000,35228696,56438555,91667251,49667251
1099,The Mule,50000000,103804407,170857676,274662083,224662083
64,The Mummy,195000000,80101125,409953905,490055030,295055030
409,The Mummy Returns,98000000,202007640,435040395,637048035,539048035
107,The Mummy: Tomb of the Dragon Emperor,175000000,102491776,405760225,508252001,333252001
3375,The Muppet Christmas Carol,12000000,27281507,27492918,54774425,42774425
3863,The Muppet Movie,8000000,76657000,76657000,153314000,145314000
1263,The Muppets,45000000,88625922,160971922,249597844,204597844
3093,The Muse,15000000,11614954,11614954,23229908,8229908
1482,The Musketeer,40000000,27053815,27053815,54107630,14107630
2369,The Naked Gun 2Â½: The Smell of Fear,23000000,86930411,86930411,173860822,150860822
3841,The Namesake,8500000,13610521,20288774,33899295,25399295
1672,The Nativity Story,35000000,37629831,46309644,83939475,48939475
1143,The Negotiator,50000000,44705766,49105766,93811532,43811532
2415,The Net,22000000,50621733,110521733,161143466,139143466
3263,The New Guy,13000000,28972187,28972187,57944374,44944374
1971,The New World,30000000,12712093,26184400,38896493,8896493
2266,The Next Best Thing,25000000,14983572,24355762,39339334,14339334
1948,The Next Three Days,30000000,21148651,67255916,88404567,58404567
1155,The Nice Guys,50000000,36261763,59596747,95858510,45858510
2205,The Night Before,25000000,43035725,52427346,95463071,70463071
4504,The Night Listener,4000000,7836393,10770993,18607386,14607386
1573,The Ninth Gate,38000000,18653746,58394308,77048054,39048054
1860,The Notebook,30000000,81001787,116025023,197026810,167026810
3060,The November Man,15000000,25018119,34820335,59838454,44838454
1802,The Number 23,32000000,35193167,77593167,112786334,80786334
4600,The Nun's Story,3500000,12800000,12800000,25600000,22100000
1871,The Nut Job,30000000,64251538,122529966,186781504,156781504
1480,The Nut Job 2: Nutty by Nature,40000000,28370522,57438389,85808911,45808911
234,The Nutcracker and the Four Realms,132900000,54858851,170293899,225152750,92252750
989,The Nutty Professor,55000000,128814019,273814019,402628038,347628038
3052,The Object of my Affection,15000000,29145924,29145924,58291848,43291848
1435,The Odd Life of Timothy Green,40000000,51853450,55249159,107102609,67102609
5197,The Offspring,1100000,1355728,1355728,2711456,1611456
3983,The Omega Code,7200000,12610552,12678312,25288864,18088864
2189,The Omen,25000000,54607383,119295584,173902967,148902967
1209,The One,49000000,43905746,72689126,116594872,67594872
4669,The Original Kings of Comedy,3000000,38168022,38236338,76404360,73404360
1484,The Other Boleyn Girl,40000000,26814957,78269970,105084927,65084927
373,The Other Guys,100000000,119219978,170936470,290156448,190156448
4033,The Other Side of Heaven,7000000,4720371,4720371,9440742,2440742
4348,The Other Side of the Door,5000000,3000342,12905107,15905449,10905449
1401,The Other Woman,40000000,83911193,195111193,279022386,239022386
2866,The Others,17000000,96522687,207765056,304287743,287287743
1479,The Out-of-Towners,40000000,28544120,28544120,57088240,17088240
3593,The Outsiders,10000000,25697647,25697647,51395294,41395294
5620,The Overnight,200000,1109808,1165996,2275804,2075804
3730,The Oxford Murders,10000000,4803,17704131,17708934,7708934
978,The Pacifier,56000000,113006880,198006880,311013760,255013760
2720,The Painted Veil,19400000,8060487,15118795,23179282,3779282
3901,The Pallbearer,8000000,5656388,5656388,11312776,3312776
2159,The Passion of the Christ,25000000,370782930,622341924,993124854,968124854
324,The Patriot,110000000,113330342,215300000,328630342,218630342
1147,The Peacemaker,50000000,41263140,62967368,104230508,54230508
406,The Peanuts Movie,99000000,130178411,250091610,380270021,281270021
1259,The Pelican Brief,45000000,100768056,187995859,288763915,243763915
2777,The Perfect Guy,18000000,57027435,60278166,117305601,99305601
3613,The Perfect Man,10000000,16535005,19535005,36070010,26070010
4321,The Perfect Match,5000000,9669521,10182050,19851571,14851571
284,The Perfect Storm,120000000,182618434,328711434,511329868,391329868
3276,The Perks of Being a Wallflower,13000000,17742948,33069303,50812251,37812251
1018,The Phantom of the Opera,55000000,51225796,153770052,204995848,149995848
1685,The Pianist,35000000,32519322,111854182,144373504,109373504
3991,The Piano,7000000,40157856,40168957,80326813,73326813
569,The Pink Panther,80000000,82226474,158926474,241152948,161152948
4581,The Pirate,3700000,2956000,2956000,5912000,2212000
3086,The Pirates Who Don't Do Anything: A VeggieTales Movie,15000000,12981269,13248444,26229713,11229713
1033,The Pirates! Band of Misfits,55000000,31051126,136143605,167194731,112194731
3066,The Place Beyond the Pines,15000000,21403519,47011449,68414968,53414968
3882,The Player,8000000,21706101,28876702,50582803,42582803
4280,The Players Club,5000000,23047939,23047939,46095878,41095878
1306,The Pledge,45000000,19719930,29406132,49126062,4126062
117,The Polar Express,170000000,187224605,311365187,498589792,328589792
3180,The Possession,14000000,49130588,82925064,132055652,118055652
4136,The Possession of Hannah Grace,6000000,14836174,42785387,57621561,51621561
1108,The Post,50000000,81903458,179748880,261652338,211652338
3400,The Postman Always Rings Twice,12000000,12200000,44200000,56400000,44400000
2280,The Powerpuff Girls,25000000,11411644,16425701,27837345,2837345
483,The Predator,88000000,51024708,159487563,210512271,122512271
1432,The Prestige,40000000,53089891,104407366,157497257,117497257
1937,The Prince & Me,30000000,28165882,29356757,57522639,27522639
856,The Prince of Egypt,60000000,101413188,218613188,320026376,260026376
1865,The Prince of Tides,30000000,74787599,74787599,149575198,119575198
3046,The Princess Bride,15000000,30857000,30859628,61716628,46716628
1850,The Princess Diaries,30000000,108244774,165334774,273579548,243579548
1260,The Princess Diaries 2: Royal Engagement,45000000,95149435,122071435,217220870,172220870
349,The Princess and the Frog,105000000,104400899,270997378,375398277,270398277
3326,The Prisoner of Zenda,12500000,7000000,7000000,14000000,1500000
4135,The Prodigy,6000000,14856291,19789712,34646003,28646003
1307,The Producers: The Movie Musical,45000000,19398532,32952995,52351527,7351527
1378,The Proposal,40000000,163958031,314709717,478667748,438667748
5759,The Puffy Chair,15000,194523,195254,389777,374777
1775,The Punisher,33000000,33664370,54533774,88198144,55198144
4666,The Purge,3000000,64473115,91266581,155739696,152739696
3770,The Purge: Anarchy,9000000,71562550,111534881,183097431,174097431
3541,The Purge: Election Year,10000000,79042440,118514727,197557167,187557167
986,The Pursuit of Happyness,55000000,162586036,307311093,469897129,414897129
3015,The Queen,15000000,56441711,128885873,185327584,170327584
1807,The Quick and the Dead,32000000,18552460,18552460,37104920,5104920
2631,The Quiet American,20000000,12987647,26348203,39335850,19335850
5441,The R.M.,500000,1111615,1111615,2223230,1723230
2474,The Rage: Carrie 2,21000000,17760244,17760244,35520488,14520488
2832,The Railway Man,18000000,4438438,23910210,28348648,10348648
1444,The Rainmaker,40000000,45916769,45916769,91833538,51833538
2144,The Raven,26000000,16008272,30601801,46610073,20610073
1785,The Reader,32500000,34194407,112964875,147159282,114659282
4513,The Real Cancun,4000000,3816594,3816594,7633188,3633188
1487,The Reaping,40000000,25126214,62226214,87352428,47352428
3732,The Reef,10000000,0,15037867,15037867,5037867
919,The Relic,60000000,33956608,33956608,67913216,7913216
3063,The Remains of the Day,15000000,22954968,63954968,86909936,71909936
1953,The Replacement Killers,30000000,19035741,19035741,38071482,8071482
1142,The Replacements,50000000,44737059,50054511,94791570,44791570
4925,The Resurrection of Gavin Stone,2000000,2303792,2303792,4607584,2607584
4492,The Return of the Living Dead,4000000,14237880,14237880,28475760,24475760
4264,The Return of the Pink Panther,5000000,41833347,41833347,83666694,78666694
226,The Revenant,135000000,183637894,532938302,716576196,581576196
2102,The Right Stuff,27000000,21500000,21500000,43000000,16000000
1214,The Ring,48000000,129094024,248218486,377312510,329312510
1112,The Ring Two,50000000,75941727,161941727,237883454,187883454
1599,The Rite,37000000,33047633,97143987,130191620,93191620
1288,The River Wild,45000000,46815000,94215000,141030000,96030000
2293,The Road,25000000,8114270,29206732,37321002,12321002
420,The Road to El Dorado,95000000,50802661,65700000,116502661,21502661
4266,The Robe,5000000,36000000,36008303,72008303,67008303
637,The Rock,75000000,134069511,336069511,470139022,395139022
3115,The Rocker,15000000,6409528,8767338,15176866,176866
5169,The Rocky Horror Picture Show,1200000,1414845,1615976,3030821,1830821
2408,The Rookie,22000000,75600072,80491516,156091588,134091588
2938,The Roommate,16000000,37300107,52545707,89845814,73845814
3836,The Rose,8500000,29200000,29200000,58400000,49900000
2050,The Royal Tenenbaums,28000000,52353636,71430876,123784512,95784512
2036,The Rugrats Movie,28000000,100494685,140894685,241389370,213389370
2256,The Ruins,25000000,17432844,22910563,40343407,15343407
4508,The Rules of Attraction,4000000,6525762,11799060,18324822,14324822
512,The Rundown,85000000,47641743,80831893,128473636,43473636
1920,The Running Man,30000000,38122000,38122000,76244000,46244000
467,The Saint,90000000,61363304,169400000,230763304,140763304
2406,The Santa Clause,22000000,144833357,189800000,334633357,312633357
778,The Santa Clause 2,65000000,139225854,172825854,312051708,247051708
3802,The Sapphires,9000000,2450867,20395040,22845907,13845907
3792,The Savages,9000000,6623082,10642023,17265105,8265105
755,The Score,68000000,71069884,113542091,184611975,116611975
861,The Scorpion King,60000000,90580000,165890634,256470634,196470634
3572,The Second Best Exotic Marigold Hotel,10000000,33078266,90384306,123462572,113462572
3479,The Secret Life of Bees,11000000,37780486,39994347,77774833,66774833
625,The Secret Life of Pets,75000000,368384330,886750534,1255134864,1180134864
580,The Secret Life of Pets 2,80000000,63795655,113351496,177147151,97147151
436,The Secret Life of Walter Mitty,91000000,58236838,187861183,246098021,155098021
5248,The Secrets of Jonathan Sperry,1000000,1355079,1355079,2710158,1710158
916,The Sentinel,60000000,36280697,78080697,114361394,54361394
5232,The Sessions,1000000,6002451,11495204,17497655,16497655
1470,The Shadow,40000000,31835600,31835600,63671200,23671200
881,The Shaggy Dog,60000000,61123569,87123569,148247138,88247138
3253,The Shallows,13000000,55121623,118763442,173885065,160885065
2718,The Shape of Water,19500000,63859435,195790794,259650229,240150229
2236,The Shawshank Redemption,25000000,28241469,28307092,56548561,31548561
2732,The Shining,19000000,44017374,44728227,88745601,69745601
1726,The Shipping News,35000000,11405825,24405825,35811650,811650
726,The Siege,70000000,40934175,116625798,157559973,87559973
2495,The Silence of the Lambs,20000000,130726716,275726716,406453432,386453432
679,The Simpsons Movie,72500000,183135014,527071022,710206036,637706036
5437,The Singles Ward,500000,1250798,1250798,2501596,2001596
2212,The Sisterhood of the Traveling Pants,25000000,39053061,41560117,80613178,55613178
2096,The Sisterhood of the Traveling Pants 2,27000000,44089964,44270131,88360095,61360095
2231,The Sitter,25000000,30542576,38749404,69291980,44291980
1374,The Sixth Sense,40000000,293506292,672806292,966312584,926312584
1441,The Skeleton Key,40000000,47907715,92256918,140164633,100164633
5235,The Skeleton Twins,1000000,5284309,5797192,11081501,10081501
3036,The Skulls,15000000,35007180,35007180,70014360,55014360
319,The Smurfs,110000000,142614158,563749323,706363481,596363481
332,The Smurfs 2,110000000,71017784,348547523,419565307,309565307
1739,The Snowman,35000000,6670765,43226146,49896911,14896911
1390,The Social Network,40000000,96962694,224922135,321884829,281884829
924,The Soloist,60000000,31853584,38522450,70376034,10376034
143,The Sorcerer's Apprentice,160000000,63150991,217986320,281137311,121137311
3859,The Sound of Music,8200000,163214286,286214286,449428572,441228572
3634,The Spanish Prisoner,10000000,10162034,13835130,23997164,13997164
1279,The Specialist,45000000,57362581,57362581,114725162,69725162
4821,The Spectacular Now,2500000,6852971,6916951,13769922,11269922
431,The Spiderwick Chronicles,92500000,71195053,162839667,234034720,141534720
673,The SpongeBob Movie: Sponge Out of Water,74000000,162994032,311013181,474007213,400007213
2067,The Spy Next Door,28000000,24307106,46752858,71059964,43059964
3182,The Spy Who Loved Me,14000000,46800000,185400000,232200000,218200000
5071,The Squid and the Whale,1500000,7372734,11191423,18564157,17064157
2538,The Star,20000000,40847995,62758010,103606005,83606005
5433,The Station Agent,500000,5801558,9470209,15271767,14771767
2569,The Stepfather,20000000,29062561,29227561,58290122,38290122
386,The Stepford Wives,100000000,59475623,96221971,155697594,55697594
5612,The Stewardesses,200000,13500000,25000000,38500000,38300000
4213,The Sting,5500000,159616327,159616327,319232654,313732654
1166,The Story of Us,50000000,27100030,27100030,54200060,4200060
3654,The Straight Story,10000000,6197866,6197866,12395732,2395732
3772,The Strangers,9000000,52597610,83051676,135649286,126649286
4278,The Strangers: Prey at Night,5000000,24431472,29960051,54391523,49391523
753,The Sum of All Fears,68000000,118471320,193500000,311971320,243971320
